"Brand","SKU","UPC","Description","Flavor","Variant","Tags","Units Per Case"
"Gatorade","061362","00-0-52000-01469-3","12OZ 18PK GAT FROST VP","Frost Variety Pack","","","18"
"Gatorade","011161","00-0-52000-32866-0","20OZ 24PK GAT FRUIT PUNCH","Fruit Punch","","","24"
"Gatorade","011163","00-0-52000-32481-5","20OZ 24PK GAT COOL BLUE RASP","Cool Blue","","","24"
"Gatorade","011159","00-0-52000-32868-4","20OZ 24PK GAT LEMON LIME","Lemon Lime","","","24"
"Gatorade","011160","00-0-52000-32867-7","20OZ 24PK GAT ORANGE","Orange","","","24"
"Gatorade","013002","00-0-52000-32486-0","20OZ 24PK GAT GLACIER FREEZE","Frost Glacier Freeze","","","24"
"Gatorade","058674","00-0-52000-10247-5","20OZ 24PK GAT GLACIER CHERRY","Frost Glacier Cherry","","","24"
"Gatorade","012766","00-0-52000-32482-2","20OZ 24PK GAT FIERCE GRAPE","Fierce Grape","","","24"
"Gatorade","061391","00-0-52000-20806-1","20OZ 3/8PK GAT FRUIT PUNCH","Fruit Punch","","","24"
"Gatorade","061385","00-0-52000-20844-3","20OZ 3/8PK GAT COOL BLUE","Cool Blue","","","24"
"Gatorade","061394","00-0-52000-20805-4","20OZ 3/8PK GAT LEMON LIME","Lemon Lime","","","24"
"Gatorade","061396","00-0-52000-20807-8","20OZ 3/8PK GAT ORANGE","Orange","","","24"
"Gatorade","061393","00-0-52000-20808-5","20OZ 3/8PK GAT GLACIER FREEZE","Frost Glacier Freeze","","","24"
"Gatorade","061392","00-0-52000-10245-1","20OZ 3/8PK GAT GLACIER CHY","Frost Glacier Cherry","","","24"
"Gatorade","061390","00-0-52000-20809-2","20OZ 3/8PK GAT FST RIP RUSH","Frost Riptide Rush","","","24"
"Gatorade","061388","00-0-52000-20842-9","20OZ 3/8PK GAT FIERCE GRAPE","Fierce Grape","","","24"
"Gatorade","061386","00-0-52000-10412-7","20OZ 3/8PK GAT FIERCE BL CH","Fierce Blue Cherry","","","24"
"Gatorade","056215","00-0-52000-24121-1","24OZ 24PK GAT FRUIT PUNCH","Fruit Punch","","","24"
"Gatorade","056216","00-0-52000-24123-5","24OZ 24PK GAT COOL BLUE","Cool Blue","","","24"
"Gatorade","056217","00-0-52000-24120-4","24OZ 24PK GAT LEMON LIME","Lemon Lime","","","24"
"Gatorade","062579","00-0-52000-06818-4","24OZ 24PK GAT ORANGE","Orange","","","24"
"Gatorade","061518","00-0-52000-04622-9","20OZ 24PK GAT FROST VP","Frost Variety Pack","","","24"
"Gatorade","062454","00-0-52000-05886-4","20OZ 24PK GAT NEW VP","Lemon Lime | Cool Blue | Fruit Punch","","","24"
"Gatorade","058338","00-0-52000-13513-8","28OZ 15PK GAT FRUIT PUNCH","Fruit Punch","","","15"
"Gatorade","058335","00-0-52000-13517-6","28OZ 15PK GAT COOL BLUE","Cool Blue","","","15"
"Gatorade","058337","00-0-52000-13515-2","28OZ 15PK GAT LEMON LIME","Lemon Lime","","","15"
"Gatorade","058339","00-0-52000-13514-5","28OZ 15PK GAT ORANGE","Orange","","","15"
"Gatorade","058672","00-0-52000-13508-4","28OZ 15PK GAT LIME CUCUMBER","Lime Cucumber","","","15"
"Gatorade","061892","00-0-52000-05802-4","28OZ 15PK GAT MIDNIGHT ICE","Midnight Ice","","","15"
"Gatorade","062113","00-0-52000-05798-0","28OZ 15PK GAT LIGHTNING BLAST","Lightning Blast","","","15"
"Gatorade","058336","00-0-52000-13519-0","28OZ 15PK GAT GLACIER FREEZE","Frost Glacier Freeze","","","15"
"Gatorade","058333","00-0-52000-10241-3","28OZ 15PK GAT GLACIER CHERRY","Frost Glacier Cherry","","","15"
"Gatorade","058749","00-0-52000-01028-2","28OZ 15PK GAT FROST ICY CHARGE","Frost Icy Charge","","","15"
"Gatorade","058334","00-0-52000-13516-9","28OZ 15PK GAT GRAPE","Fierce Grape","","","15"
"Gatorade","058553","00-0-52000-10411-0","28OZ 15PK GAT FIERCE GRN APPLE","Fierce Green Apple","","","15"
"Gatorade","058552","00-0-52000-13528-2","28OZ 15PK GAT FIERCE STRAWBRY","Fierce Strawberry","","","15"
"Gatorade","058575","00-0-52000-10410-3","28OZ 15PK GAT FIERCE BLUE CHRY","Fierce Blue Cherry","","","15"
"Gatorade","062313","00-0-52000-06340-0","28OZ 15PK GAT MU CL BL FRT PUN","Mashups Cool Blue","","","15"
"Gatorade","062312","00-0-52000-06342-4","28OZ 15PK GAT MU LEM LIME ORG","Mashups Lemon Lime Orange","","","15"
"Lipton","015609","00-0-12000-01270-9","16.9OZ 2/12PK LPTN SWT LEMON","Lemon","","","24"
"Lipton","015611","00-0-12000-01276-1","16.9OZ 2/12PK LPTN GRN TEA CIT","Green Tea Citrus","","","24"
"Lipton","015642","00-0-12000-01279-2","16.9OZ 12PK LPTN DT GREEN TEA","Diet Green Tea Citrus","","","24"
"Lipton","055979","00-0-12000-38780-7","16.9OZ 2/12PK LPTN TEA & LEMAD","Half & Half","","","24"
"Lipton","015588","00-0-12000-01275-4","20OZ 24PK LPTN GREEN TEA DP","Green Tea Citrus","","","24"
"Lipton","058047","00-0-12000-11223-2","20OZ 24PK LPTN PEACH TEA DP","Peach","","","24"
"Lipton","060714","00-0-12000-20580-4","64OZ 8PK LPTN GREEN TEA CITRUS","Green Tea Citrus","","","8"
"Lipton","060715","00-0-12000-20584-2","64OZ 8PK LPTN PEACH TEA","Peach","","","8"
"Lipton","060716","00-0-12000-20582-8","64OZ 8PK LPTN DT GRN CITRUS","Diet Green Tea Citrus","","","8"
"Mountain Dew","061977","00-0-12000-23021-9","7.5OZ 6PK CN MT DEW","Original","","","24"
"Mountain Dew","059595","00-0-12000-17324-0","7.5OZ 3/10PK CN MT DEW","Original","","","30"
"Mountain Dew","055112","00-0-12000-01593-9","12OZ 8PK PET MT DEW","Original","","","24"
"Mountain Dew","015534","00-0-12000-80996-5","12OZ 12PK CN MT DEW DP","Original","","","24"
"Mountain Dew","015519","00-0-12000-80997-2","12OZ 12PK CN DT MT DEW DP","Diet","","","24"
"Mountain Dew","058151","00-0-12000-13032-8","12OZ 12PK CN MT DEW BAJA BL DP","Baja Blast","","","24"
"Mountain Dew","062324","00-0-12000-24077-5","12OZ 12PK CN MT DEW CABO CITR","Baja Cabo Citrus","","","24"
"Mountain Dew","062666","00-0-12000-25065-1","12OZ 12PK CN MT DEW ZERO CABO","Zero Sugar Baja Cabo Citrus","","","24"
"Mountain Dew","017073","00-0-12000-02865-6","12OZ 12PK CN MD VOLTAGE","Voltage","","","24"
"Mountain Dew","011740","00-0-12000-80998-9","12OZ 12PK CN MT DEW CODE RED","Code Red","","","24"
"Mountain Dew","062768","00-0-12000-25086-6","12OZ 12PK CN DIRTY MT DEW","Cream Soda Dew","","","24"
"Mountain Dew","060295","00-0-12000-02721-5","16OZ 12PK CN MT DEW","Original","","","12"
"Mountain Dew","055207","00-0-12000-50408-2","16.9OZ 6PK MT DEW","Original","","","24"
"Mountain Dew","059626","00-0-12000-17266-3","16.9OZ 6PK MT DEW BAJA BLAST","Baja Blast","","","24"
"Mountain Dew","014197","00-0-12000-00131-4","20OZ 24PK MT DEW DP","Original","","","24"
"Mountain Dew","014198","00-0-12000-00134-5","20OZ 24PK DT MT DEW DP","Diet","","","24"
"Mountain Dew","060227","00-0-12000-19143-5","20OZ 24PK MT DEW ZERO DP","Zero Sugar","","","24"
"Mountain Dew","058150","00-0-12000-13027-4","20OZ 24PK MT DEW BAJA BLAST DP","Baja Blast","","","24"
"Mountain Dew","062323","00-0-12000-24075-1","20OZ 24PK MT DEW CABO CITRUS","Baja Cabo Citrus","","","24"
"Mountain Dew","056855","00-0-12000-02862-5","20OZ 24PK MT DEW VOLTAGE DP","Voltage","","","24"
"Mountain Dew","014199","00-0-12000-00224-3","20OZ 24PK MT DEW RED DP","Code Red","","","24"
"Mountain Dew","062767","00-0-12000-25087-3","20OZ 24PK MT DEW DIRTY DEW","Cream Soda Dew","","","24"
"Mountain Dew","058719","00-0-12000-14094-5","1.25L 12PK MT DEW","Original","","","12"
"Mountain Dew","014308","00-0-12000-00233-5","2L 6PK MT DEW DP","Original","","","6"
"Mountain Dew","014309","00-0-12000-00746-0","2L 6PK DT MT DEW DP","Diet","","","6"
"Mountain Dew","062117","00-0-12000-24014-0","2L 6PK MT DEW BAJA BLAST","Baja Blast","","","6"
"Pepsi","061974","00-0-12000-23016-5","7.5OZ 6PK CN PEPSI","Original","","","24"
"Pepsi","061976","00-0-12000-23018-9","7.5OZ 6PK CN PEPSI ZERO","Zero Sugar","","","24"
"Pepsi","061975","00-0-12000-23017-2","7.5OZ 6PK CN DT PEPSI","Diet","","","24"
"Pepsi","059593","00-0-12000-17322-6","7.5OZ 3/10PK CN PEPSI","Original","","","30"
"Pepsi","059731","00-0-12000-18307-2","7.5OZ 3/10PK CN PEPSI ZERO","Zero Sugar","","","30"
"Pepsi","059594","00-0-12000-17323-3","7.5OZ 3/10PK CN DT PEPSI","Diet","","","30"
"Pepsi","061343","00-0-12000-22242-9","7.5OZ 3/10PK CN PEPSI CHERRY","Wild Cherry","","","30"
"Pepsi","061342","00-0-12000-19252-4","7.5OZ 3/10PK CN PEPSI SUGAR","Made With Real Sugar","","","30"
"Pepsi","055109","00-0-12000-01426-0","12OZ 8PK PEPSI","Original","","","24"
"Pepsi","055110","00-0-12000-17200-7","12OZ 8PK DT PEPSI","Diet","","","24"
"Pepsi","062414","00-0-12000-00443-8","12OZ 24PK GL PEPSI","Original","","","24"
"Pepsi","015543","00-0-12000-80994-1","12OZ 12PK CN PEPSI - DP","Original","","","24"
"Pepsi","056837","00-0-12000-01879-4","12OZ 12PK CN PEPSI ZERO DP","Zero Sugar","","","24"
"Pepsi","015525","00-0-12000-17186-4","12OZ 12PK CN DT PEPSI DP","Diet","","","24"
"Pepsi","015553","00-0-12000-80999-6","12OZ 12PK CN CHERRY PEPSI DP","Wild Cherry","","","24"
"Pepsi","059591","00-0-12000-17077-5","12OZ 12PK CN CHERRY PEPSI ZERO","Zero Sugar Wild Cherry","","","24"
"Pepsi","015531","00-0-12000-17234-2","12OZ 12PK CN DT CHRY PEPSI DP","Diet Wild Cherry","","","24"
"Pepsi","015513","00-0-12000-81002-2","12OZ 12PK CN CAF FREE PEPSI DP","Caffeine Free","","","24"
"Pepsi","015515","00-0-12000-17209-0","12OZ 12PK CN DT CF PEPSI DP","Diet Caffeine Free","","","24"
"Pepsi","062135","00-0-12000-24082-9","12OZ 12PK CN PEPSI CHY & CRM","Wild Cherry & Cream","","","24"
"Pepsi","062136","00-0-12000-24058-4","12OZ 12PK CN PEPSI ZRO CH & CR","Zero Sugar Wild Cherry & Cream","","","24"
"Pepsi","058758","00-0-12000-03028-4","16OZ 12PK CN PEPSI","Original","","","12"
"Pepsi","061710","00-0-12000-14070-9","16OZ 12PK CN CHERRY PEPSI","Wild Cherry","","","12"
"Pepsi","055192","00-0-12000-50405-1","16.9OZ 6PK PEPSI","Original","","","24"
"Pepsi","059452","00-0-12000-03196-0","16.9OZ 6PK PEPSI ZERO","Zero Sugar","","","24"
"Pepsi","055193","00-0-12000-17195-6","16.9OZ 6PK DIET PEPSI","Diet","","","24"
"Pepsi","058196","00-0-12000-81119-7","16.9OZ 6PK CHERRY PEPSI","Wild Cherry","","","24"
"Pepsi","062229","00-0-12000-17256-4","16.9OZ 6PK PEPSI ZERO CHERRY","Zero Sugar Wild Cherry","","","24"
"Pepsi","014188","00-0-12000-00531-2","20OZ 24PK PEPSI DP","Original","","","24"
"Pepsi","056858","00-0-12000-01880-0","20OZ 24PK PEPSI ZERO DP","Zero Sugar","","","24"
"Pepsi","014189","00-0-12000-17228-1","20OZ 24PK DT PEPSI DP","Diet","","","24"
"Pepsi","014194","00-0-12000-00559-6","20OZ 24PK CHERRY PEPSI DP","Wild Cherry","","","24"
"Pepsi","060332","00-0-12000-17075-1","20OZ 24PK CHERRY PEPSI ZERO","Zero Sugar Wild Cherry","","","24"
"Pepsi","056849","00-0-12000-17238-0","20OZ 24PK DT CHERRY PEPSI DP","Diet Wild Cherry","","","24"
"Pepsi","062133","00-0-12000-24080-5","20OZ 24PK PEPSI CHERRY & CREAM","Wild Cherry & Cream","","","24"
"Pepsi","014102","00-0-12000-00294-6","1L 12PK PEPSI DP","Original","","","12"
"Pepsi","014103","00-0-12000-17175-8","1L 12PK DT PEPSI DP","Diet","","","12"
"Pepsi","058716","00-0-12000-14092-1","1.25L 12PK PEPSI","Original","","","12"
"Pepsi","060411","00-0-12000-20320-6","1.25L 12PK PEPSI ZERO","Zero Sugar","","","12"
"Pepsi","058717","00-0-12000-17173-4","1.25L 12PK DT PEPSI","Diet","","","12"
"Pepsi","058718","00-0-12000-14113-3","1.25L 12PK CHERRY PEPSI","Wild Cherry","","","12"
"Pepsi","014294","00-0-12000-00113-0","2L 6PK PEPSI DP","Original","","","6"
"Pepsi","016691","00-0-12000-01881-7","2L 6PK PEPSI ZERO DP","Zero Sugar","","","6"
"Pepsi","014296","00-0-12000-17252-6","2L 6PK DT PEPSI DP","Diet","","","6"
"Pepsi","014302","00-0-12000-00311-0","2L 6PK CHERRY PEPSI DP","Wild Cherry","","","6"
"Pepsi","059586","00-0-12000-17258-8","2L 6PK CHERRY PEPSI ZERO DP","Zero Sugar Wild Cherry","","","6"
"Pepsi","014298","00-0-12000-00492-6","2L 6PK CAF FREE PEPSI DP","Caffeine Free","","","6"
"Pepsi","014300","00-0-12000-17213-7","2L 6PK DT CAF FREE PEPSI DP","Diet Caffeine Free","","","6"
"Pure Leaf","059855","00-0-12000-18167-2","16.9OZ 2/6PK LPTN PL SWT W/LEM","Lemon","","","12"
"Pure Leaf","059856","00-0-12000-18170-2","16.9OZ 2/6PK LPTN PL RASPBERRY","Raspberry","","","12"
"Pure Leaf","059857","00-0-12000-18172-6","16.9OZ 2/6PK LPTN PL UNSWEET","Unsweetened","","","12"
"Pure Leaf","059859","00-0-12000-18178-8","16.9OZ 2/6PK LPTN PL PEACH","Peach","","","12"
"Pure Leaf","061708","00-0-12000-18175-7","16.9OZ 2/6PK LPTN PL TEA LEMAD","Tea & Lemonade","","","12"
"Pure Leaf","061869","00-0-98000-10046-2","16.9OZ 2/6PK LPTN PL BLKBERRY","Blackberry","","","12"
"Pure Leaf","061868","00-0-98000-10038-7","16.9OZ 2/6PK LPTN PL ZRO SWT T","Zero Sugar Sweet Tea","","","12"
"Pure Leaf","060564","00-0-12000-17318-9","16.9OZ 12PK LPTN PL SWEET TEA","Sweet Tea","","","12"
"Pure Leaf","062114","00-0-12000-17320-2","16.9OZ 12PK LPTN PL UNSWEET","Unsweetened","","","12"
"Pure Leaf","062305","00-0-98000-10096-7","16.9OZ 12PK LPTN PL ZERO SWEET","Zero Sugar Sweet Tea","","","12"
"Pure Leaf","057055","00-0-12000-28618-6","18.5OZ 12PK LPTN PL T SWT LEM","Lemon","","","12"
"Pure Leaf","057059","00-0-12000-28622-3","18.5OZ 12PK LPTN PL RASP TEA","Raspberry","","","12"
"Pure Leaf","057244","00-0-12000-28619-3","18.5OZ 12PK LPTN PL SWEET TEA","Sweet Tea","","","12"
"Pure Leaf","057057","00-0-12000-28620-9","18.5OZ 12PK LPTN PL UNSWEET","Unsweetened","","","12"
"Pure Leaf","057058","00-0-12000-28621-6","18.5OZ 12PK LPTN PL PEACH TEA","Peach","","","12"
"Pure Leaf","057309","00-0-12000-04117-4","18.5OZ 12P LPTN PL GRN HON","Green Tea With Honey","","","12"
"Pure Leaf","058079","00-0-12000-04283-6","18.5OZ 12PK LPTN PL TEA LMADE","Tea & Lemonade","","","12"
"Pure Leaf","061763","00-0-98000-10043-1","18.5OZ 12PK LPTN PL BLACKBERRY","Blackberry","","","12"
"Pure Leaf","057060","00-0-12000-28623-0","18.5OZ 12PK LPTN PL DT TEA LEM","Zero Sugar Lemon","","","12"
"Pure Leaf","061764","00-0-98000-10035-6","18.5OZ 12PK LPTN PL ZERO SWT T","Zero Sugar Sweet Tea","","","12"
"Pure Leaf","062128","00-0-12000-28624-7","18.5OZ 12PK LPTN PL ZERO PEACH","Zero Sugar Peach","","","12"
"Pure Leaf","062338","00-0-98000-10106-3","18.5OZ 12PK LPTN PL ZERO RASP","Zero Sugar Raspberry","","","12"
"Pure Leaf","058573","00-0-12000-14209-3","64OZ 8PK LPTN PL SWEET LEMON","Lemon","","","8"
"Pure Leaf","059206","00-0-12000-16199-5","64OZ 8PK LPTN PL RASPBERRY","Raspberry","","","8"
"Pure Leaf","058574","00-0-12000-14208-6","64OZ 8PK LPTN PL UNSWEET TEA","Unsweetened","","","8"
"Pure Leaf","061870","00-0-98000-10040-0","64OZ 8PK LPTN PL ZERO SWEET T","Zero Sugar Sweet Tea","","","8"
"Starbucks","058912","00-0-12000-04551-6","9.5OZ 15PK FRAP COFFEE","Coffee","","","15"
"Starbucks","058911","00-0-12000-04552-3","9.5OZ 15PK FRAP VANILLA","Vanilla","","","15"
"Starbucks","058914","00-0-12000-10313-1","9.5OZ 15PK FRAP MOCHA","Mocha","","","15"
"Starbucks","060318","00-0-12000-15275-7","9.5OZ 15PK FRAP CARMEL CLUB PK","Caramel","","","15"
"Starbucks","062259","00-0-98100-10077-5","9.5OZ 12PK FRAP LT CREAMY VAN","Lite Creamy Vanilla","","","12"
"Starbucks","062257","00-0-98100-10081-2","9.5OZ 12PK FRAP LT SEA SLT CAR","Lite Sea Salt Caramel Gelato","","","12"
"Starbucks","062258","00-0-98100-10084-3","9.5OZ 12PK FRAP LT DBL CHOC","Lite Double Chocolate Gelato","","","12"
"Starbucks","062777","00-0-98100-10131-4","9.5OZ 12PK FRAP LT CHOC HZLNUT","Lite Chocolate Hazelnut Gelato","","","12"
"Starbucks","014707","00-0-12000-10151-9","9.5OZ 6/4PK FRAP COFFEE","Coffee","","","24"
"Starbucks","014706","00-0-12000-10114-4","9.5OZ 6/4PK FRAP VANILLA","Vanilla","","","24"
"Starbucks","014705","00-0-12000-10092-5","9.5OZ 6/4PK FRAP MOCHA","Mocha","","","24"
"Starbucks","062147","00-0-12000-10368-1","9.5OZ 6/4PK GL FRAP CARAMEL","Caramel","","","24"
"Starbucks","015450","00-0-12000-00180-2","13.7OZ 12PK FRAP COFFEE","Coffee","","","12"
"Starbucks","057588","00-0-12000-81331-3","13.7OZ 12PK FRAP VANILLA","Vanilla","","","12"
"Starbucks","057587","00-0-12000-00452-0","13.7OZ 12PK FRAP MOCHA","Mocha","","","12"
"Starbucks","057939","00-0-12000-01672-1","13.7OZ 12PK FRAP CARAMEL","Caramel","","Limited","12"
"Starbucks","061517","00-0-12000-15109-5","13.7OZ 12PK FRAP WH CH MOC","White Chocolate Mocha","","Limited","12"
"Starbucks","061143","00-0-12000-21080-8","13.7OZ 12PK STBK OMLK CAR COOK","Oatmilk Caramel Waffle Cookie","","Limited","12"
"Starbucks","059037","00-0-12000-16010-3","13.7OZ 12PK FRAP PUMPKIN SPICE","Pumpkin Spice","","Limited","12"
"Starry","061978","00-0-12000-23023-3","7.5OZ 6PK CN STARRY","Original","","","24"
"Starry","061298","00-0-12000-22146-0","7.5OZ 3/10PK CN STARRY","Original","","","30"
"Starry","061275","00-0-12000-22160-6","12OZ 12PK CN STARRY","Original","","","24"
"Starry","061276","00-0-12000-22163-7","12OZ 12PK CN STARRY ZERO","Zero Sugar","","","24"
"Starry","061281","00-0-12000-22150-7","16.9OZ 6PK STARRY","Original","","","24"
"Starry","061277","00-0-12000-22151-4","20OZ 24PK STARRY","Original","","","24"
"Starry","061278","00-0-12000-22152-1","20OZ 24PK STARRY ZERO","Zero Sugar","","","24"
"Starry","061279","00-0-12000-22147-7","2L 6PK STARRY","Original","","","6"
